representation,dataset,tokenizer,total_cases,parse_ok_cases,parse_rate,parse_rate_ci_low,parse_rate_ci_high,functional_total_cases,functional_ok_cases,functional_rate,functional_rate_ci_low,functional_rate_ci_high,python_tokens,repr_tokens,saved_tokens,saved_pct,saved_pct_ci_low,saved_pct_ci_high
kern,humaneval,cl100k_base,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,30368,8873,21495,70.782,68.179,72.851
kern,humaneval,codegen_350m_mono,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,34286,11271,23015,67.127,64.638,69.179
kern,humaneval,llama_tinyllama,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,36308,10976,25332,69.77,67.318,71.738
kern,humaneval,o200k_base,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,30387,8940,21447,70.58,68.012,72.61
kern,mbpp_train,cl100k_base,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,21202,16786,4416,20.828,19.693,21.86
kern,mbpp_train,codegen_350m_mono,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,27871,21374,6497,23.311,22.409,24.163
kern,mbpp_train,llama_tinyllama,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,28003,21124,6879,24.565,23.495,25.545
kern,mbpp_train,o200k_base,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,21290,16966,4324,20.31,19.185,21.345
kern,overall,cl100k_base,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,51570,25659,25911,50.244,47.527,53.22
kern,overall,codegen_350m_mono,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,62157,32645,29512,47.48,45.022,50.185
kern,overall,llama_tinyllama,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,64311,32100,32211,50.086,47.559,52.84
kern,overall,o200k_base,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,51677,25906,25771,49.869,47.088,52.886
python,humaneval,cl100k_base,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,30368,30368,0,0.0,0.0,0.0
python,humaneval,codegen_350m_mono,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,34286,34286,0,0.0,0.0,0.0
python,humaneval,llama_tinyllama,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,36308,36308,0,0.0,0.0,0.0
python,humaneval,o200k_base,164,164,100.0,100.0,100.0,164,164,100.0,100.0,100.0,30387,30387,0,0.0,0.0,0.0
python,mbpp_train,cl100k_base,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,21202,21202,0,0.0,0.0,0.0
python,mbpp_train,codegen_350m_mono,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,27871,27871,0,0.0,0.0,0.0
python,mbpp_train,llama_tinyllama,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,28003,28003,0,0.0,0.0,0.0
python,mbpp_train,o200k_base,374,374,100.0,100.0,100.0,0,0,0.0,0.0,0.0,21290,21290,0,0.0,0.0,0.0
python,overall,cl100k_base,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,51570,51570,0,0.0,0.0,0.0
python,overall,codegen_350m_mono,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,62157,62157,0,0.0,0.0,0.0
python,overall,llama_tinyllama,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,64311,64311,0,0.0,0.0,0.0
python,overall,o200k_base,538,538,100.0,100.0,100.0,164,164,100.0,100.0,100.0,51677,51677,0,0.0,0.0,0.0
simpy,humaneval,cl100k_base,164,156,95.122,92.073,98.171,164,156,95.122,92.073,98.171,28731,32548,-3817,-13.285,-14.472,-12.164
simpy,humaneval,codegen_350m_mono,164,156,95.122,92.073,98.171,164,156,95.122,92.073,98.171,32387,38966,-6579,-20.314,-21.979,-18.828
simpy,humaneval,llama_tinyllama,164,156,95.122,92.073,98.171,164,156,95.122,92.073,98.171,34321,39569,-5248,-15.291,-16.669,-14.076
simpy,humaneval,o200k_base,164,156,95.122,92.073,98.171,164,156,95.122,92.073,98.171,28763,32902,-4139,-14.39,-15.7,-13.205
simpy,mbpp_train,cl100k_base,374,370,98.93,97.594,99.733,0,0,0.0,0.0,0.0,20852,27340,-6488,-31.115,-33.28,-29.197
